Date;Open;High;Low;Close;Volume
25/02/1998;26.115;26.755;25.952;26.755;430609
24/02/1998;26.397;26.564;25.885;26.134;208011
23/02/1998;25.880;26.827;25.880;26.578;361543
20/02/1998;25.158;25.880;25.058;25.880;180788
19/02/1998;25.880;26.009;25.062;25.182;352394
18/02/1998;24.508;26.024;24.508;25.880;564529
17/02/1998;24.058;25.149;23.910;25.034;541519
16/02/1998;23.403;23.853;23.403;23.838;226171
13/02/1998;23.111;23.819;23.111;23.561;260951
12/02/1998;23.403;23.695;23.145;23.159;239346
11/02/1998;24.699;24.699;23.446;23.838;348117
10/02/1998;24.493;25.005;24.383;24.422;318680
09/02/1998;24.422;25.077;24.355;24.642;357082
06/02/1998;23.800;24.642;23.757;24.283;495509
05/02/1998;23.614;23.948;23.614;23.800;362168
04/02/1998;23.183;23.604;22.767;23.547;430987
03/02/1998;23.542;23.767;23.183;23.327;338162
02/02/1998;23.695;24.278;23.475;23.618;666627
30/01/1998;22.236;23.111;22.236;23.083;387449
29/01/1998;22.346;22.571;22.098;22.499;406317
28/01/1998;21.839;22.270;21.586;22.236;417467
27/01/1998;21.696;21.945;21.658;21.835;201584
26/01/1998;22.198;22.198;21.710;21.863;162382
23/01/1998;21.543;22.016;21.366;21.978;339896
22/01/1998;21.505;21.854;21.289;21.433;786783
21/01/1998;21.433;22.007;21.179;21.921;312848
20/01/1998;21.347;21.615;21.270;21.514;181818
19/01/1998;21.505;21.792;21.103;21.242;157155
16/01/1998;21.251;21.419;20.931;21.419;383821
15/01/1998;20.414;20.921;20.194;20.921;339156
14/01/1998;21.576;21.653;20.123;20.333;489258
13/01/1998;20.998;21.199;20.673;20.778;254316
12/01/1998;20.567;20.706;19.917;20.338;473189
09/01/1998;20.998;21.433;20.711;21.141;552816
08/01/1998;22.600;23.021;20.964;20.964;810654
07/01/1998;23.628;24.034;22.308;22.313;421868
06/01/1998;23.183;24.030;23.083;23.987;252115
05/01/1998;23.341;24.058;23.049;23.255;256066
02/01/1998;23.365;23.757;23.183;23.695;114955
31/12/1997;23.322;23.614;23.183;23.322;206439
30/12/1997;23.327;23.365;23.064;23.183;250453
29/12/1997;22.638;23.255;22.561;23.183;196822
26/12/1997;22.380;22.490;22.270;22.337;35293
24/12/1997;22.236;22.437;22.169;22.380;68939
23/12/1997;23.097;23.097;22.451;22.466;286619
22/12/1997;22.102;23.097;22.088;22.963;252754
19/12/1997;22.605;22.877;22.308;22.461;476038
18/12/1997;23.327;23.542;23.217;23.327;273953
17/12/1997;23.910;23.910;23.145;23.561;256233
16/12/1997;24.130;24.197;23.767;24.015;271509
15/12/1997;24.058;24.407;23.767;24.058;257368
12/12/1997;23.618;24.493;23.437;24.493;368527
11/12/1997;24.407;24.407;23.044;23.680;827281
10/12/1997;23.264;25.732;23.116;25.517;856107
09/12/1997;22.891;23.963;22.853;23.532;694582
08/12/1997;22.600;23.111;22.528;22.863;711164
05/12/1997;21.763;22.298;21.763;22.002;379487
04/12/1997;21.529;22.016;21.529;21.868;405056
03/12/1997;21.213;21.490;21.041;21.347;214351
02/12/1997;21.309;21.309;20.778;21.199;236125
01/12/1997;20.998;21.289;20.706;21.213;258893
28/11/1997;20.998;21.289;20.850;20.998;293339
27/11/1997;20.491;21.060;20.338;20.850;558419
26/11/1997;20.333;20.472;19.907;20.347;325481
25/11/1997;20.046;20.414;19.324;19.324;237488
24/11/1997;20.046;20.113;19.429;19.750;268145
21/11/1997;20.778;20.998;20.261;20.472;453512
20/11/1997;20.137;20.706;19.936;20.486;783288
19/11/1997;18.698;19.721;18.698;19.683;366648
18/11/1997;19.319;19.319;18.879;18.961;208047
17/11/1997;18.956;19.085;18.736;19.013;307765
14/11/1997;18.406;18.573;18.114;18.114;224129
13/11/1997;18.114;18.181;17.933;18.152;191609
12/11/1997;18.444;18.444;17.870;18.152;542166
07/11/1997;18.588;18.588;18.162;18.262;584529
06/11/1997;19.109;19.248;18.808;19.099;182532
05/11/1997;19.128;19.821;19.028;19.310;358004
04/11/1997;19.032;19.448;18.774;18.918;419722
03/11/1997;18.750;19.597;18.750;19.171;333534
31/10/1997;19.319;19.319;18.296;18.588;396294
30/10/1997;19.171;19.601;18.817;19.013;593067
29/10/1997;20.032;20.041;19.013;19.903;751297
